,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
43647,Villa Crespo,3.0,2.0,1.0,59.0,54.0,160000.0,Departamento
43648,Villa Crespo,3.0,2.0,2.0,73.0,65.0,195000.0,Departamento
43649,Villa Crespo,3.0,2.0,1.0,65.0,58.0,127000.0,Departamento
43650,Villa Crespo,3.0,2.0,1.0,75.0,55.0,148500.0,Departamento
43651,Villa Crespo,3.0,2.0,1.0,64.0,55.0,143000.0,Departamento
43652,Villa Crespo,3.0,2.0,1.0,63.0,60.0,151000.0,Departamento
43653,Villa Crespo,3.0,2.0,1.0,58.0,55.0,138000.0,Departamento
43654,Villa Crespo,3.0,2.0,2.0,87.0,77.0,173000.0,Departamento
43655,Villa Crespo,3.0,2.0,2.0,77.0,67.0,235500.0,Departamento
43656,Villa Crespo,3.0,2.0,2.0,66.0,58.0,173000.0,Departamento
43657,Villa Crespo,3.0,2.0,1.0,62.0,54.0,145000.0,Departamento
43658,Villa Crespo,3.0,2.0,2.0,85.0,80.0,175000.0,Departamento
43659,Villa Devoto,3.0,2.0,2.0,69.0,65.0,265000.0,Departamento
43663,Puerto Madero,3.0,2.0,2.0,73.0,60.0,410000.0,Departamento
43664,Puerto Madero,3.0,2.0,2.0,69.0,69.0,279000.0,Departamento
43665,San Cristobal,3.0,2.0,1.0,60.0,60.0,159000.0,Departamento
43666,Villa Urquiza,3.0,2.0,1.0,65.0,60.0,265000.0,Departamento
43667,Villa Urquiza,3.0,2.0,1.0,65.0,60.0,265000.0,Departamento
43668,Villa Urquiza,3.0,2.0,1.0,68.0,63.0,330000.0,Departamento
43669,Villa Urquiza,3.0,2.0,1.0,52.0,52.0,140000.0,Departamento
43673,Villa del Parque,3.0,2.0,3.0,115.0,86.0,320000.0,Departamento
43675,Parque Centenario,3.0,2.0,2.0,87.0,77.0,173000.0,Departamento
43676,Parque Centenario,3.0,2.0,2.0,60.0,55.0,173000.0,Departamento
43677,Parque Centenario,3.0,2.0,2.0,79.0,70.0,269000.0,Departamento
43678,Parque Centenario,3.0,2.0,1.0,78.0,70.0,168500.0,Departamento
43679,Parque Centenario,3.0,2.0,1.0,50.0,50.0,145000.0,Departamento
43680,Parque Centenario,3.0,2.0,1.0,90.0,81.0,275000.0,Departamento
43681,Parque Centenario,3.0,2.0,2.0,60.0,55.0,173000.0,Departamento
43682,Parque Centenario,3.0,2.0,1.0,56.0,53.0,130000.0,Departamento
43684,Centro / Microcentro,3.0,2.0,1.0,59.0,59.0,118000.0,Departamento
43685,Centro / Microcentro,3.0,2.0,2.0,80.0,80.0,152000.0,Departamento
43686,Centro / Microcentro,3.0,2.0,1.0,70.0,70.0,160000.0,Departamento
43687,Centro / Microcentro,3.0,2.0,2.0,85.0,85.0,145000.0,Departamento
43688,Flores,4.0,3.0,1.0,160.0,110.0,180000.0,PH
43691,Almagro,4.0,3.0,4.0,120.0,120.0,280000.0,PH
43692,Almagro,4.0,3.0,1.0,124.0,124.0,219000.0,PH
43693,Almagro,4.0,3.0,2.0,109.0,109.0,264000.0,PH
43694,Palermo,4.0,3.0,1.0,120.0,120.0,345000.0,PH
43696,Palermo,4.0,3.0,1.0,77.0,77.0,239000.0,PH
43697,Recoleta,4.0,3.0,1.0,120.0,120.0,345000.0,PH
43698,Balvanera,4.0,3.0,2.0,125.0,125.0,220000.0,PH
43699,Caballito,4.0,3.0,2.0,92.0,92.0,189000.0,PH
43700,Caballito,5.0,3.0,2.0,165.0,90.0,158000.0,PH
43701,Chacarita,4.0,3.0,2.0,197.0,150.0,300000.0,PH
43703,Villa Lugano,4.0,3.0,2.0,94.0,81.0,175000.0,PH
43704,Villa Urquiza,4.0,3.0,2.0,129.0,99.0,279000.0,PH
43705,Villa Urquiza,4.0,3.0,1.0,60.0,60.0,275000.0,PH
43706,Villa Urquiza,4.0,3.0,2.0,130.0,99.0,279000.0,PH
43710,Villa Pueyrredón,4.0,3.0,3.0,160.0,130.0,295000.0,PH
43712,Once,4.0,3.0,4.0,191.0,163.0,359900.0,Departamento
43713,Once,4.0,3.0,1.0,114.0,110.0,185000.0,Departamento
43734,Almagro,4.0,3.0,2.0,78.0,70.0,184000.0,Departamento
43735,Almagro,4.0,3.0,2.0,80.0,76.0,190000.0,Departamento
43736,Almagro,4.0,3.0,2.0,97.0,89.0,290000.0,Departamento
43737,Almagro,4.0,3.0,2.0,99.0,95.0,230000.0,Departamento
43738,Almagro,4.0,3.0,1.0,100.0,100.0,179000.0,Departamento
43739,Almagro,4.0,3.0,1.0,100.0,100.0,175000.0,Departamento
43740,Almagro,4.0,3.0,2.0,124.0,124.0,219000.0,Departamento
43741,Almagro,4.0,3.0,3.0,148.0,140.0,504325.0,Departamento
43742,Almagro,4.0,3.0,2.0,101.0,101.0,230000.0,Departamento
43743,Almagro,4.0,3.0,1.0,104.0,92.0,261000.0,Departamento
43744,Almagro,4.0,3.0,1.0,149.0,142.0,299900.0,Departamento
43745,Almagro,4.0,3.0,1.0,89.0,79.0,189000.0,Departamento
43746,Almagro,4.0,3.0,2.0,78.0,72.0,172500.0,Departamento
43747,Almagro,4.0,3.0,4.0,158.0,151.0,349000.0,Departamento
43748,Almagro,4.0,3.0,1.0,56.0,54.0,144000.0,Departamento
43749,Almagro,4.0,3.0,1.0,72.0,67.0,172000.0,Departamento
43750,Almagro,4.0,3.0,1.0,104.0,92.0,261000.0,Departamento
43751,Almagro,4.0,3.0,2.0,103.0,97.0,217000.0,Departamento
43752,Almagro,4.0,3.0,2.0,124.0,124.0,219000.0,Departamento
43753,Almagro,4.0,3.0,2.0,95.0,85.0,285000.0,Departamento
43754,Almagro,4.0,3.0,1.0,130.0,105.0,255000.0,Departamento
43755,Almagro,4.0,3.0,2.0,90.0,80.0,229000.0,Departamento
43756,Almagro,4.0,3.0,2.0,90.0,80.0,229000.0,Departamento
43757,Almagro,4.0,3.0,3.0,102.0,94.0,287000.0,Departamento
43759,Palermo,4.0,3.0,1.0,72.0,64.0,232000.0,Departamento
43761,Palermo,4.0,3.0,3.0,120.0,120.0,289000.0,Departamento
43764,Palermo,4.0,3.0,2.0,99.0,95.0,210000.0,Departamento
43765,Palermo,4.0,3.0,2.0,83.0,80.0,215000.0,Departamento
43766,Palermo,4.0,3.0,3.0,168.0,142.0,384500.0,Departamento
43767,Palermo,4.0,3.0,1.0,97.0,97.0,230000.0,Departamento
43768,Palermo,4.0,3.0,2.0,133.0,123.0,380000.0,Departamento
43769,Palermo,4.0,3.0,1.0,102.0,95.0,279000.0,Departamento
43771,Palermo,4.0,3.0,1.0,72.0,64.0,232000.0,Departamento
43776,Palermo,4.0,3.0,2.0,135.0,122.0,490000.0,Departamento
43777,Palermo,4.0,3.0,2.0,103.0,97.0,245000.0,Departamento
43779,Palermo,4.0,3.0,1.0,78.0,75.0,199000.0,Departamento
43780,Barracas,4.0,3.0,1.0,88.0,83.0,190000.0,Departamento
43783,Belgrano,4.0,3.0,3.0,140.0,102.0,369000.0,Departamento
43784,Belgrano,4.0,3.0,2.0,125.0,123.0,349000.0,Departamento
43785,Belgrano,4.0,3.0,2.0,142.0,130.0,495000.0,Departamento
